Question Number,Similarity Result
1,Question 1 - Similarity with Answer: 16.82%
2,Question 2 - Similarity with Answer: 14.71%
3,Question 3 - Similarity with Answer: 19.05%
1,Question 1 - Similarity with Answer: 20.69%
2,Question 2 - Similarity with Answer: 31.25%
2,Question 2 - Similarity with Answer: 29.33%
1,Question 1 - Similarity with Answer: 19.05%
3,Question 3 - Similarity with Answer: 21.62%
3,Question 3 - Similarity with Answer: 20.51%
1,Question 1 - Similarity with Answer: 19.85%
2,Question 2 - Similarity with Answer: 32.91%
3,Question 3 - Similarity with Answer: 17.65%
1,Question 1 - Similarity with Answer: 15.79%
3,Question 3 - Similarity with Answer: 21.18%
1,Question 1 - Similarity with Answer: 2.02%
3,Question 3 - Similarity with Answer: 14.63%
1,Question 1 - Similarity with Answer: 79.76%
2,Question 2 - Similarity with Answer: 48.48%
3,Question 3 - Similarity with Answer: 19.72%
1,Question 1 - Similarity with Answer: 30.77%
2,Question 2 - Similarity with Answer: 30.23%
3,Question 3 - Similarity with Answer: 21.54%
1,Question 1 - Similarity with Answer: 81.18%
2,Question 2 - Similarity with Answer: 60.87%
3,Question 3 - Similarity with Answer: 48.28%
1,Question 1 - Similarity with Answer: 13.08%
3,Question 3 - Similarity with Answer: 12.50%
1,Question 1 - Similarity with Answer: 7.77%
2,Question 2 - Similarity with Answer: 17.14%
3,Question 3 - Similarity with Answer: 8.82%
1,Question 1 - Similarity with Answer: 72.61%
2,Question 2 - Similarity with Answer: 89.72%
3,Question 3 - Similarity with Answer: 93.58%
1,Question 1 - Similarity with Answer: 46.51%
2,Question 2 - Similarity with Answer: 54.55%
3,Question 3 - Similarity with Answer: 48.35%
1,Question 1 - Similarity with Answer: 59.57%
2,Question 2 - Similarity with Answer: 52.94%
3,Question 3 - Similarity with Answer: 52.43%
1,Question 1 - Similarity with Answer: 11.57%
2,Question 2 - Similarity with Answer: 36.14%
3,Question 3 - Similarity with Answer: 35.90%
1,Question 1 - Similarity with Answer: 22.40%
2,Question 2 - Similarity with Answer: 31.58%
3,Question 3 - Similarity with Answer: 35.90%
1,Question 1 - Similarity with Answer: 23.14%
2,Question 2 - Similarity with Answer: 19.72%
3,Question 3 - Similarity with Answer: 52.83%
1,Question 1 - Similarity with Answer: 46.75%
2,Question 2 - Similarity with Answer: 59.05%
3,Question 3 - Similarity with Answer: 52.43%
2,Question 2 - Similarity with Answer: 22.22%
3,Question 3 - Similarity with Answer: 42.59%
1,Question 1 - Similarity with Answer: 68.79%
2,Question 2 - Similarity with Answer: 66.07%
3,Question 3 - Similarity with Answer: 52.53%
2,Question 2 - Similarity with Answer: 11.32%
3,Question 3 - Similarity with Answer: 33.33%
2,Question 2 - Similarity with Answer: 29.73%
1,Question 1 - Similarity with Answer: 16.95%
2,Question 2 - Similarity with Answer: 30.14%
3,Question 3 - Similarity with Answer: 17.91%
1,Question 1 - Similarity with Answer: 48.65%
2,Question 2 - Similarity with Answer: 36.14%
3,Question 3 - Similarity with Answer: 35.90%
1,Question 1 - Similarity with Answer: 61.54%
2,Question 2 - Similarity with Answer: 36.14%
1,Question 1 - Similarity with Answer: 34.04%
1,Question 1 - Similarity with Answer: 56.52%
1,Question 1 - Similarity with Answer: 19.20%
2,Question 2 - Similarity with Answer: 22.86%
3,Question 3 - Similarity with Answer: 14.71%
1,Question 1 - Similarity with Answer: 40.52%
2,Question 2 - Similarity with Answer: 62.14%
3,Question 3 - Similarity with Answer: 56.79%
1,Question 1 - Similarity with Answer: 10.71%
2,Question 2 - Similarity with Answer: 34.21%
2,Question 2 - Similarity with Answer: 32.50%
1,Question 1 - Similarity with Answer: 38.52%
2,Question 2 - Similarity with Answer: 12.70%
3,Question 3 - Similarity with Answer: 33.33%
2,Question 2 - Similarity with Answer: 49.52%
2,Question 2 - Similarity with Answer: 61.18%
3,Question 3 - Similarity with Answer: 15.87%
2,Question 2 - Similarity with Answer: 61.18%
3,Question 3 - Similarity with Answer: 51.35%
2,Question 2 - Similarity with Answer: 40.00%
3,Question 3 - Similarity with Answer: 41.10%
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Similarity with Answer: 26.83%
3,Question 3 - Similarity with Answer: 48.00%
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Similarity with Answer: 40.58%
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Similarity with Answer: 54.17%
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Similarity with Answer: 15.15%
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Couldn't Recognize the Answer
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Similarity with Answer: 42.35%
3,Question 3 - Similarity with Answer: 40.58%
1,Question 1 - Similarity with Answer: 32.81%
2,Question 2 - Similarity with Answer: 58.06%
3,Question 3 - Similarity with Answer: 31.58%
1,Question 1 - Similarity with Answer: 16.07%
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Couldn't Recognize the Answer
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
3,Question 3 - Couldn't Recognize the Answer
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Couldn't Recognize the Answer
1,Question 1 - Couldn't Recognize the Answer
2,Question 2 - Similarity with Answer: 9.38%
3,Question 3 - Couldn't Recognize the Answer
1,Question 1 - Couldn't Recognize the Answer
